Brand,Product Name,Discount Price,Actual Price,Ratings
NIKE,Brasilia Kids Backpack,"₹1,721","₹2,295",3.9
MUJI,Less Tiring Water Repellent Large Capacity Backpack,"₹6,690",,4.8
Altheory by AZORTE,Men Rubberised Backpack,"₹2,299",,3.7
Puma,Men Graphic Back Pack,₹846,"₹1,799",4.2
BAD HABIT,Textured Backpack with Appliques,₹900,"₹2,999",1.3
ASOS DESIGN,Canvas Backpack with Faux Leather,"₹1,999","₹2,499",5
OZUKO,9587 Range Backpack with Zip Closure,"₹5,985","₹17,100",4
Skybags,Bagpack with Adjustable Shoulder Strap,"₹1,224","₹2,300",
Priority,Mens Laptop Bag  Pack,₹387,"₹1,249",4.9
Skybags,Men Offroader NX 05 Laptop Backpack,"₹1,155","₹2,800",3.9
HIDESIGN,One Compartment Everyday Backpack,"₹7,617","₹11,995",
OZUKO,9509 Carbon Fiber Backpack,"₹5,535","₹12,300",
Puma,Man Puma Back Pack ,"₹1,999",,
Swiss Military,Glaze Unisex Laptop Trolley Backpack,"₹4,346","₹6,790",
MOKOBARA,Men Back Pack,"₹7,999","₹13,999",
NIKE,Heritage Backpack,"₹1,871","₹2,495",4.5
MaheTri,Men Strappy Backpack with Padded Laptop Sleeve,"₹6,800","₹17,000",4
Skybags,Men Gear Brand Print Backpack,₹600,"₹1,500",3.7
Skybags,Men Arthur Striped Laptop Backpack,₹920,"₹2,300",2.8
Wildcraft,Unisex Brand Print Backpack with Adjustable Straps,"₹1,699",,
Skybags,Men Caption America Print Backpack,₹600,"₹2,198",3.2
Priority,Men Others Back Pack,₹307,"₹1,199",3.7
NETPLAY,Men Camouflage Print Backpack with Adjustable Strap,₹550,"₹1,099",
CARLTON,Men Bradford Laptop Backpack,"₹3,500",,3.4
Priority,Men Travel Backpack with Adjustable Straps ,₹649,"₹3,499",3.5
SUPERDRY,Printed Montana Backpack,"₹3,849","₹5,499",4.2
French Accent,Laptop Backpack with Zip Closure ,"₹2,931","₹6,978",
Priority,College Back Pack,₹471,"₹1,599",4
Puma,Men Colourblock Backpack with Adjustable Straps,"₹1,250","₹2,499",3.3
Puma,Plus II Backpack with Adjustable Straps,₹824,"₹1,499",
Dailyobjects,One Compartment Laptop Bag Pack,"₹1,699","₹2,499",4
MOKOBARA,Men Everyday Backpack with Adjustable Straps,"₹4,999","₹10,999",4.6
Priority,Typographic Print Backpack with Adjustable Strap ,₹549,"₹1,499",3.5
Skybags,Men Offroader 01 Biking Everyday Backpack,₹576,"₹1,800",3.3
FUR JADEN,Backpack with Adjustable Shoulder Strap,"₹3,000","₹6,000",4.5
ARMANI EXCHANGE,Men Essential Backpack,"₹13,199","₹21,999",3.8
Priority,College Back Pack,₹471,"₹1,599",
FUR JADEN,Backpack with Adjustable Shoulder Strap,"₹3,500","₹7,000",3.5
