model,price,rating,sim,processor,ram,battery,display,camera,card,os
Poco F6 5G,"₹22,999",84,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 8s Gen3, Octa Core, 3 GHz Processor","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 90W Fast Charging,"6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 20 MP Front Camera,Memory Card Not Supported,Android v14
Xiaomi Redmi Note 14 Pro 5G,"₹23,499",83,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 7300 Ultra, Octa Core, 2.5 GHz Processor","8 GB RAM, 128 GB inbuilt",5500 mAh Battery with 45W Fast Charging,"6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 20 MP Front Camera,Android v14,No FM Radio
Xiaomi 15,"₹64,999",92,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor","12 GB RAM, 512 GB inbuilt",5240 mAh Battery with 90W Fast Charging,"6.36 inches, 1200 x 2670 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 32 MP Front Camera,Android v15,No FM Radio
Samsung Galaxy S24 5G,"₹55,900",89,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Exynos 2400, Deca Core, 3.2 GHz Processor","8 GB RAM, 256 GB inbuilt",4000 mAh Battery with 25W Fast Charging,"6.2 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole",50 MP + 12 MP + 10 MP Triple Rear & 12 MP Front Camera,Android v14,No FM Radio
OPPO Reno 13 5G (8GB+256GB),"₹34,990",87,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 8350, Octa Core, 3.35 GHz Processor","8 GB RAM, 256 GB inbuilt",5600 mAh Battery with 80W Fast Charging,"6.59 inches, 1256 x 2760 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 50 MP Front Camera,Android v15,No FM Radio
Vivo V50 5G (8GB RAM + 256GB),"₹36,999",86,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 7 Gen3, Octa Core, 2.63 GHz Processor","8 GB RAM, 256 GB inbuilt",6000 mAh Battery with 90W Fast Charging,"6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 50 MP Dual Rear & 50 MP Front Camera,Memory Card Not Supported,Android v15
Vivo Y29 5G,"₹13,999",,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","4 GB RAM, 128 GB inbuilt",5500 mAh Battery with 44W Fast Charging,"6.68 inches, 720 x 1608 px, 120 Hz Display with Punch Hole",50 MP + 0.08 MP Dual Rear & 8 MP Front Camera,"Memory Card (Hybrid), upto 1 TB",Android v14
Motorola Moto G85 5G (12GB RAM + 256GB),"₹19,190",84,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 6s Gen3, Octa Core, 2.3 GHz Processor","12 GB RAM, 256 GB inbuilt",5000 mAh Battery with 33W Fast Charging,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 32 MP Front Camera,"Memory Card (Hybrid), upto 1 TB",Android v14
Realme P1 5G (8GB RAM+ 128GB),"₹13,975",82,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7050, Octa Core, 2.6 GHz Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 45W Fast Charging,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,"Memory Card (Hybrid), upto 2 TB",Android v14
Google Pixel 8A,"₹34,999",,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Tensor G3, Nine-Cores, 3 GHz Processor","8 GB RAM, 128 GB inbuilt",4492 mAh Battery with Fast Charging,"6.1 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",64 MP + 13 MP Dual Rear & 13 MP Front Camera,Memory Card Not Supported,Android v14
Vivo Y19e,"₹7,999",,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Unisoc T7225, Octa Core, 1.8 GHz Processor","4 GB RAM, 64 GB inbuilt",5500 mAh Battery with 15W Fast Charging,"6.74 inches, 720 x 1600 px Display with Water Drop Notch",13 MP + 0.08 MP Dual Rear & 5 MP Front Camera,Memory Card Supported,Android v14
Vivo X200 5G,"₹59,990",91,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 9400, Octa Core, 3.63 GHz Processor","12 GB RAM, 256 GB inbuilt",5800 mAh Battery with 90W Fast Charging,"6.67 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 32 MP Front Camera,Memory Card Not Supported,Android v15
Motorola Edge 50 Pro (12GB RAM + 256GB),"₹29,499",88,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Snapdragon 7 Gen3, Octa Core, 2.63 GHz Processor","12 GB RAM, 256 GB inbuilt",4500 mAh Battery with 125W Fast Charging,"6.7 inches, 1220 x 2712 px, 144 Hz Display with Punch Hole",50 MP + 13 MP + 10 MP Triple Rear & 50 MP Front Camera,Android v14,No FM Radio
OnePlus Nord CE 3 Lite 5G,"₹16,499",85,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 695 5G, Octa Core, 2.2 GHz Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 67W Fast Charging,"6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",108 MP + 2 MP + 2 MP Triple Rear & 16 MP Front Camera,"Memory Card (Hybrid), upto 1 TB",Android v13
Realme P3x 5G (8GB RAM + 128GB),"₹14,434",81,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6400, Octa Core, 2.5 GHz Processor","8 GB RAM, 128 GB inbuilt",6000 mAh Battery with 45W Fast Charging,"6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Memory Card (Hybrid),Android v15
Realme GT 6,"₹33,999",89,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Snapdragon 8s Gen3, Octa Core, 3 GHz Processor","8 GB RAM, 256 GB inbuilt",5500 mAh Battery with 120W Fast Charging,"6.78 inches, 1264 x 2780 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 32 MP Front Camera,Memory Card Not Supported,Android v14
Vivo V40e 5G,"₹25,999",83,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7300, Octa Core, 2.5 GHz Processor","8 GB RAM, 128 GB inbuilt",5500 mAh Battery with 80W Fast Charging,"6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 50 MP Front Camera,Android v14,No FM Radio
Oppo F25 Pro 5G,"₹21,999",85,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7050, Octa Core, 2.6 GHz Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 67W Fast Charging,"6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole",64 MP + 8 MP + 2 MP Triple Rear & 32 MP Front Camera,"Memory Card (Hybrid), upto 2 TB",Android v14
Poco M6 Plus 5G,"₹10,499",80,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 4 Gen2 AE, Octa Core, 2.3 GHz Processor","6 GB RAM, 128 GB inbuilt",5030 mAh Battery with 33W Fast Charging,"6.79 inches, 1080 x 2460 px, 120 Hz Display with Punch Hole",108 MP + 2 MP Dual Rear & 13 MP Front Camera,"Memory Card (Hybrid), upto 1 TB",Android v14
